Line Ref. No.,Billing Organization,NYISO Name,Zone,PTID,Town,County,State,In-Service Date,Name Plate Rating (MW),2019 CRIS Summer (MW),2019 CRIS Winter (MW),2019 Capability Summer (MW),2019 Capability Winter (MW),Dual Fuel,Unit Type,Fuel Type (primary),Fuel Type (secondary),2018 Net Energy (GWh),Latitude,Longitude
R1025,Astoria Generating Company L.P.,Gowanus 1-2,J,24078,Brooklyn,47,36,06/01/1971,20,17.1,22.3,19.4,24.9,,Combustion Turbine,Fuel Oil 2,,0.2,40.6635,-74.0051
R1026,Astoria Generating Company L.P.,Gowanus 1-3,J,24079,Brooklyn,47,36,06/01/1971,20,17.2,22.5,17.7,22.9,,Combustion Turbine,Fuel Oil 2,,0.2,40.6635,-74.0051
R1027,Astoria Generating Company L.P.,Gowanus 1-4,J,24080,Brooklyn,47,36,06/01/1971,20,17.1,22.3,16.7,21.3,,Combustion Turbine,Fuel Oil 2,,0.1,40.6635,-74.0051
R1028,Astoria Generating Company L.P.,Gowanus 1-5,J,24084,Brooklyn,47,36,06/01/1971,20,16.5,21.6,17.2,22.3,,Combustion Turbine,Fuel Oil 2,,0.1,40.6635,-74.0051
R1029,Astoria Generating Company L.P.,Gowanus 1-6,J,24111,Brooklyn,47,36,06/01/1971,20,18,23.5,16.6,21.4,,Combustion Turbine,Fuel Oil 2,,0.1,40.6635,-74.0051
R1030,Astoria Generating Company L.P.,Gowanus 1-7,J,24112,Brooklyn,47,36,06/01/1971,20,17.6,23,17.6,22.4,,Combustion Turbine,Fuel Oil 2,,0.1,40.6635,-74.0051
R1031,Astoria Generating Company L.P.,Gowanus 1-8,J,24113,Brooklyn,47,36,06/01/1971,20,16.1,21,15.9,20.9,,Combustion Turbine,Fuel Oil 2,,0,40.6635,-74.0051
R1032,Astoria Generating Company L.P.,Gowanus 2-1,J,24114,Brooklyn,47,36,06/01/1971,20,17.9,23.4,17,22.5,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,1.9,40.6635,-74.0051
R1033,Astoria Generating Company L.P.,Gowanus 2-2,J,24115,Brooklyn,47,36,06/01/1971,20,18.8,24.6,18.3,24.1,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,1.8,40.6635,-74.0051
R1034,Astoria Generating Company L.P.,Gowanus 2-3,J,24116,Brooklyn,47,36,06/01/1971,20,20.6,26.9,19.1,24.9,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,1.9,40.6635,-74.0051
R1035,Astoria Generating Company L.P.,Gowanus 2-4,J,24117,Brooklyn,47,36,06/01/1971,20,19.3,25.2,17.3,23.1,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,0.8,40.6635,-74.0051
R1036,Astoria Generating Company L.P.,Gowanus 2-5,J,24118,Brooklyn,47,36,06/01/1971,20,18.6,24.3,18,23.4,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,0.6,40.6635,-74.0051
R1037,Astoria Generating Company L.P.,Gowanus 2-6,J,24119,Brooklyn,47,36,06/01/1971,20,20.3,26.5,19.5,24.9,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,1,40.6635,-74.0051
R1038,Astoria Generating Company L.P.,Gowanus 2-7,J,24120,Brooklyn,47,36,06/01/1971,20,19.6,25.6,19.1,24.7,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,1,40.6635,-74.0051
R1039,Astoria Generating Company L.P.,Gowanus 2-8,J,24121,Brooklyn,47,36,06/01/1971,20,17.7,23.1,17.7,22.9,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,0.4,40.6635,-74.0051
R1040,Astoria Generating Company L.P.,Gowanus 3-1,J,24122,Brooklyn,47,36,07/01/1971,20,17.7,23.1,16.9,21.9,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,0.9,40.6635,-74.0051
R1646,Astoria Generating Company L.P.,Gowanus 3-2,J,24123,Brooklyn,47,36,07/01/1971,20,17.7,23.1,17.1,22.6,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,0.7,40.6635,-74.0051
R1342,Astoria Generating Company L.P.,Gowanus 3-3,J,24124,Brooklyn,47,36,07/01/1971,20,19.8,25.9,18,23.8,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,1,40.6635,-74.0051
R1434,Astoria Generating Company L.P.,Gowanus 3-4,J,24125,Brooklyn,47,36,07/01/1971,20,17.9,23.4,16.2,21.4,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,1,40.6635,-74.0051
R1102,Astoria Generating Company L.P.,Gowanus 3-5,J,24126,Brooklyn,47,36,07/01/1971,20,19,24.8,17.3,22.8,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,1.4,40.6635,-74.0051
R1103,Astoria Generating Company L.P.,Gowanus 3-6,J,24127,Brooklyn,47,36,07/01/1971,20,17.6,23,15.5,21,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,0.7,40.6635,-74.0051
R1337,Astoria Generating Company L.P.,Gowanus 3-7,J,24128,Brooklyn,47,36,07/01/1971,20,18.1,23.6,18.1,23.9,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,0.5,40.6635,-74.0051
R1101,Astoria Generating Company L.P.,Gowanus 3-8,J,24129,Brooklyn,47,36,07/01/1971,20,19,24.8,16.9,23.9,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,0.5,40.6635,-74.0051
R1375,Astoria Generating Company L.P.,Gowanus 4-1,J,24130,Brooklyn,47,36,07/01/1971,20,16.8,21.9,18.9,24.4,,Combustion Turbine,Fuel Oil 2,,0.2,40.6635,-74.0051
R1110,Astoria Generating Company L.P.,Gowanus 4-2,J,24131,Brooklyn,47,36,07/01/1971,20,17.3,22.6,17.6,22.5,,Combustion Turbine,Fuel Oil 2,,0.2,40.6635,-74.0051
R1111,Astoria Generating Company L.P.,Gowanus 4-3,J,24132,Brooklyn,47,36,07/01/1971,20,17.6,23,16.6,20.4,,Combustion Turbine,Fuel Oil 2,,0.1,40.6635,-74.0051
R1109,Astoria Generating Company L.P.,Gowanus 4-4,J,24133,Brooklyn,47,36,07/01/1971,20,17.1,22.3,16.5,22.3,,Combustion Turbine,Fuel Oil 2,,0.1,40.6635,-74.0051
R1397,Astoria Generating Company L.P.,Gowanus 4-5,J,24134,Brooklyn,47,36,07/01/1971,20,17.1,22.3,16.4,22.1,,Combustion Turbine,Fuel Oil 2,,0.1,40.6635,-74.0051
R1429,Astoria Generating Company L.P.,Gowanus 4-6,J,24135,Brooklyn,47,36,07/01/1971,20,18.6,24.3,18.1,23,,Combustion Turbine,Fuel Oil 2,,0.1,40.6635,-74.0051
R1421,Astoria Generating Company L.P.,Gowanus 4-7,J,24136,Brooklyn,47,36,07/01/1971,20,16.6,21.7,17.2,21.7,,Combustion Turbine,Fuel Oil 2,,0,40.6635,-74.0051
R1008,Astoria Generating Company L.P.,Gowanus 4-8,J,24137,Brooklyn,47,36,07/01/1971,20,19,24.8,17.4,21.9,,Combustion Turbine,Fuel Oil 2,,0.2,40.6635,-74.0051
R1708,New York Power Authority,Greenport IC 4,K,1652,Greenport,103,36,06/06/1957,1.2,1.7,1.7,0.9,1.1,,Internal Combustion,Fuel Oil 2,,0,,
R1439,New York Power Authority,Greenport IC 5,K,1652,Greenport,103,36,07/08/1965,1.8,1.7,1.7,1.4,1.6,,Internal Combustion,Fuel Oil 2,,0,,
R1415,New York Power Authority,Greenport IC 6,K,1652,Greenport,103,36,09/17/1971,3.8,2.7,2.7,3,2.6,,Internal Combustion,Fuel Oil 2,,0,,
R1432,New York State Elec. & Gas Corp.,Harris Lake,D,5018,Newcomb,31,36,08/01/1967,1.7,0,0,0,0,,Internal Combustion,Fuel Oil 2,,0,,
R1687,Long Island Power Authority,Hempstead (RR),K,23647,Hempstead,59,36,10/01/1989,78.6,73.7,73.7,72.8,74.7,,Steam Turbine,Refuse,,594.1,,
R1133,"Exelon Generation Company, LLC",High Acres,C,23767,Fairport,117,36,06/01/1991,9.6,9.6,9.6,9.6,9.6,,Internal Combustion,Methane,,6.4,,
R1325,"Consolidated Edison Co. of NY, Inc.",Hudson Ave 3,J,23810,Brooklyn,47,36,07/01/1970,16.3,16,20.9,16.7,19.5,,Combustion Turbine,Kerosene,,0.2,40.7052,-73.9807
