TimeStamp,DualFuel,Hydro,NaturalGas,Nuclear,OtherFossilFuels,OtherRenewables,Wind,Total
04/11/2019 05:00:00,2198.83333333333,2766.58333333333,2201.58333333333,4529.58333333333,0,160.5,62.9166666666667,11920
04/11/2019 06:00:00,2565.5,3441.5,2801.07142857143,4548.42857142857,0,155.785714285714,93.7857142857143,13606.0714285714
04/11/2019 07:00:00,2756.83333333333,3883.33333333333,2895.08333333333,4586.33333333333,0,153.416666666667,107.25,14382.25
04/11/2019 08:00:00,2889,3841.33333333333,2877.33333333333,4612.25,0,154.5,80.3333333333333,14454.75
04/11/2019 09:00:00,2783.66666666667,3685.33333333333,2862.91666666667,4650.91666666667,0,168.833333333333,62,14213.6666666667
04/11/2019 10:00:00,2614.66666666667,3627.33333333333,2802.08333333333,4678.08333333333,1.08333333333333,176.25,130.166666666667,14029.6666666667
04/11/2019 11:00:00,2588.33333333333,3623.83333333333,2783.33333333333,4719.5,4,175.916666666667,156.75,14051.6666666667
04/11/2019 12:00:00,2484.66666666667,3627.83333333333,2763,4747.58333333333,1.58333333333333,177.333333333333,221.25,14023.25
04/11/2019 13:00:00,2449.41666666667,3683.58333333333,2780.16666666667,4749.75,0,179.5,307.166666666667,14149.5833333333
04/11/2019 14:00:00,2517.33333333333,3707.75,2780.75,4749,0,177.5,312.25,14244.5833333333
04/11/2019 15:00:00,2457.25,3669,2763.08333333333,4742.08333333333,0,169.5,348.5,14149.4166666667
04/11/2019 16:00:00,2546.83333333333,3681.08333333333,2776.33333333333,4753.41666666667,0,172,257.166666666667,14186.8333333333
04/11/2019 17:00:00,2696.91666666667,3623.5,2844.58333333333,4751.91666666667,0,169.333333333333,246.416666666667,14332.6666666667
04/11/2019 18:00:00,2681.16666666667,3445.16666666667,2846.66666666667,4751.83333333333,0,168.666666666667,266.166666666667,14159.6666666667
04/11/2019 19:00:00,2816.58333333333,3452.08333333333,2863.5,4751.5,0,168.75,301.583333333333,14354
04/11/2019 20:00:00,2867.33333333333,3294,2902.08333333333,4752.33333333333,0,167.666666666667,423.666666666667,14407.0833333333
04/11/2019 21:00:00,2723.16666666667,3427.75,2760.83333333333,4751.5,0,167.916666666667,533.083333333333,14364.25
04/11/2019 22:00:00,2331,3019.91666666667,2357.16666666667,4751.75,0,166.833333333333,594.416666666667,13221.0833333333
04/11/2019 23:00:00,2191.33333333333,2910.91666666667,2131.33333333333,4750.41666666667,0,169.166666666667,615.5,12768.6666666667
04/12/2019 00:00:00,2157,2629,1704.33333333333,4751.25,0,176.666666666667,686.25,12104.5
04/12/2019 01:00:00,2061.91666666667,2557,1666.83333333333,4751.41666666667,0,167.416666666667,701,11905.5833333333
04/12/2019 02:00:00,1856.08333333333,2449.58333333333,1630.08333333333,4754,0,167.333333333333,764.583333333333,11621.6666666667
04/12/2019 03:00:00,1866.16666666667,2430.5,1619.91666666667,4752.66666666667,0,167.916666666667,788.083333333333,11625.25
04/12/2019 04:00:00,1965.16666666667,2439.33333333333,1683.58333333333,4757.33333333333,0,169.5,840.166666666667,11855.0833333333
04/12/2019 05:00:00,1935.25,2332.16666666667,1901.66666666667,4779,0,169.75,922.333333333333,12040.1666666667
04/12/2019 06:00:00,2274.66666666667,2824.66666666667,2433.83333333333,4790.5,0,169.583333333333,1016.5,13509.75
04/12/2019 07:00:00,2896.5,3213.25,2744.58333333333,4808.33333333333,0,169.833333333333,1079,14911.5
04/12/2019 08:00:00,2907.83333333333,2978.25,2654.66666666667,4820.83333333333,0,171.25,1021.5,14554.3333333333
04/12/2019 09:00:00,3020.83333333333,2963.58333333333,2606,4824.33333333333,0,173.583333333333,1019.91666666667,14608.25
04/12/2019 10:00:00,3231.83333333333,3161.5,2586.75,4822.41666666667,0,173.75,1011,14987.25
04/12/2019 11:00:00,3147.33333333333,3102.83333333333,2520.75,4817.08333333333,0,179.333333333333,978.5,14745.8333333333
04/12/2019 12:00:00,3061,3177.66666666667,2515.16666666667,4813.41666666667,1.25,186.166666666667,917.75,14672.4166666667
04/12/2019 13:00:00,2758.5,3257.41666666667,2597.25,4809.25,3.5,190.5,917,14533.4166666667
04/12/2019 14:00:00,2767.66666666667,3164.41666666667,2333.33333333333,4808.16666666667,3.25,193,842.25,14112.0833333333
04/12/2019 15:00:00,2863.33333333333,3156.66666666667,2265.33333333333,4808.66666666667,15.3333333333333,191,783.416666666667,14083.75
04/12/2019 16:00:00,2859.16666666667,3227.58333333333,2351.16666666667,4807,40.6666666666667,186.75,833.416666666667,14305.75
04/12/2019 17:00:00,2861.41666666667,3268.91666666667,2379.08333333333,4807.75,138.75,176.916666666667,766.416666666667,14399.25
04/12/2019 18:00:00,3091.75,2916.75,2400.58333333333,4807.41666666667,150.083333333333,171.666666666667,901.416666666667,14439.6666666667
04/12/2019 19:00:00,3160.83333333333,2689.25,2385.66666666667,4809,149.916666666667,169.666666666667,1030.41666666667,14394.75
04/12/2019 20:00:00,3041.25,2923.5,2411.16666666667,4807,149.333333333333,173.416666666667,1121.16666666667,14626.8333333333
04/12/2019 21:00:00,2538.66666666667,3160.83333333333,2234.83333333333,4806.33333333333,149,182.666666666667,1248.5,14320.8333333333
04/12/2019 22:00:00,2432.08333333333,2671.66666666667,2155.08333333333,4810.66666666667,149.5,184.333333333333,1181,13584.3333333333
04/12/2019 23:00:00,1998.66666666667,2549.25,2045.25,4813.16666666667,148.083333333333,174.5,1131.41666666667,12860.3333333333
04/13/2019 00:00:00,1630.45454545455,2564.81818181818,1749.54545454545,4812.18181818182,147.636363636364,168.909090909091,1084.09090909091,12157.6363636364
04/13/2019 01:00:00,1606.5,2548.83333333333,1685.83333333333,4814.08333333333,148.083333333333,174.666666666667,1023,12001
04/13/2019 02:00:00,1594.75,2516.08333333333,1618.83333333333,4816.58333333333,148.083333333333,176.666666666667,1139.25,12010.25
04/13/2019 03:00:00,1424.5,2516,1627.41666666667,4819.91666666667,148,177.583333333333,1033.41666666667,11746.8333333333
04/13/2019 04:00:00,1469.5,2539.33333333333,1595.16666666667,4819.91666666667,147.75,176.916666666667,945.583333333333,11694.1666666667
04/13/2019 05:00:00,1544.33333333333,2552.16666666667,1674.08333333333,4820.58333333333,147.666666666667,175.416666666667,913.416666666667,11827.6666666667
04/13/2019 06:00:00,1849.33333333333,2591.41666666667,2028.91666666667,4822.25,148.25,174.583333333333,837.416666666667,12452.1666666667
04/13/2019 07:00:00,2071.75,2568,2115.75,4824.58333333333,153.083333333333,176.583333333333,704.166666666667,12613.9166666667
04/13/2019 08:00:00,2370.75,2523.16666666667,2218.25,4825.08333333333,149.5,175.25,614.916666666667,12876.9166666667
04/13/2019 09:00:00,2610.21428571429,2497.78571428571,2260.78571428571,4822.21428571429,148.428571428571,175,804.857142857143,13319.2857142857
04/13/2019 10:00:00,2447.1875,2526.9375,2229.3125,4820.3125,151.5,179.5625,1104.1875,13459
04/13/2019 11:00:00,2618.5,2490.25,2201,4819.58333333333,151.583333333333,182,1122.83333333333,13585.75
04/13/2019 12:00:00,2553,2504.91666666667,2256.16666666667,4820.33333333333,147.833333333333,185.5,1210.16666666667,13677.9166666667
04/13/2019 13:00:00,2199.08333333333,2560.41666666667,2200.16666666667,4822.16666666667,148,198.333333333333,1209.41666666667,13337.5833333333
04/13/2019 14:00:00,2260.58333333333,2563.91666666667,2115.33333333333,4823.33333333333,147.5,193.166666666667,1227.58333333333,13331.4166666667
04/13/2019 15:00:00,2253.25,2584.91666666667,2109.58333333333,4823.5,147.916666666667,190.5,1213.83333333333,13323.5
04/13/2019 16:00:00,2384.33333333333,2573.75,2272,4823.33333333333,147.416666666667,187.333333333333,1198,13586.1666666667
04/13/2019 17:00:00,2542.75,2570,2194.16666666667,4822.16666666667,147.916666666667,182.166666666667,1140.08333333333,13599.25
04/13/2019 18:00:00,2690,2556.25,2124.33333333333,4820.75,147.75,176.833333333333,1022.41666666667,13538.3333333333
04/13/2019 19:00:00,2661.5,2564.41666666667,2050.08333333333,4821.25,148.5,173.5,893.666666666667,13312.9166666667
04/13/2019 20:00:00,2730.08333333333,2940.66666666667,2019.5,4822.33333333333,149,170.166666666667,783.416666666667,13615.1666666667
04/13/2019 21:00:00,2433,3422.41666666667,1994.66666666667,4822.08333333333,149.5,170.333333333333,753.25,13745.25
04/13/2019 22:00:00,2430.5,3244.66666666667,1971.16666666667,4823.83333333333,147.416666666667,171.666666666667,497.333333333333,13286.5833333333
04/13/2019 23:00:00,2130.5,3236.41666666667,1792.33333333333,4825.33333333333,149.166666666667,167.416666666667,394.166666666667,12695.3333333333
04/14/2019 00:00:00,2387.21428571429,3159.57142857143,1327.28571428571,4826.71428571429,41.9285714285714,168.857142857143,204.571428571429,12116.1428571429
04/14/2019 01:00:00,1721,3175.08333333333,1214.41666666667,4828.08333333333,0,170,157.5,11266.0833333333
04/14/2019 02:00:00,1649.5,3250.08333333333,1231.58333333333,4828.66666666667,0,167.75,122.75,11250.3333333333
04/14/2019 03:00:00,1737.91666666667,3172.66666666667,1224.58333333333,4829.58333333333,0,168.583333333333,98.75,11232.0833333333
04/14/2019 04:00:00,1727.08333333333,3005.5,1195.33333333333,4828.83333333333,0,171.083333333333,81.9166666666667,11009.75
04/14/2019 05:00:00,1784.5,2837.25,1225.66666666667,4829.83333333333,0,174.25,108.333333333333,10959.8333333333
04/14/2019 06:00:00,1926.75,3118.75,1271,4828.75,0,172.916666666667,107.25,11425.4166666667
04/14/2019 07:00:00,1919.08333333333,3112.25,1350.5,4829.25,0,173.333333333333,160.916666666667,11545.3333333333
04/14/2019 08:00:00,2003.66666666667,3068.16666666667,1747.41666666667,4828.83333333333,0,176.083333333333,222.916666666667,12047.0833333333
04/14/2019 09:00:00,2060,3229.25,1755.83333333333,4828.66666666667,0,180.083333333333,305.75,12359.5833333333
04/14/2019 10:00:00,1982.83333333333,3368.66666666667,1808.33333333333,4828.91666666667,0,179.916666666667,225.666666666667,12394.3333333333
04/14/2019 11:00:00,1864.41666666667,3497.5,1803.75,4825.58333333333,0,189.166666666667,365.333333333333,12545.75
04/14/2019 12:00:00,2384.58333333333,3392.25,1622.75,4824.58333333333,0,187.5,370.416666666667,12782.0833333333
04/14/2019 13:00:00,2578.75,3353,1580.33333333333,4823.75,0,173.666666666667,465.25,12974.75
04/14/2019 14:00:00,2649.75,3494.16666666667,1635.5,4824.33333333333,0,170.083333333333,430.416666666667,13204.25
04/14/2019 15:00:00,2696.41666666667,3509.25,1697.5,4826.08333333333,0,172.75,428.916666666667,13330.9166666667
04/14/2019 16:00:00,2681.08333333333,3681.75,1943.25,4824.91666666667,0,171.083333333333,466.5,13768.5833333333
04/14/2019 17:00:00,2907.91666666667,3582.66666666667,1942.58333333333,4824,0,168.166666666667,634.833333333333,14060.1666666667
04/14/2019 18:00:00,2936.25,3395.75,1911.83333333333,4825.41666666667,0,164.75,775,14009
04/14/2019 19:00:00,3059.83333333333,3277.83333333333,1863.25,4826.41666666667,0,163.75,954.333333333333,14145.4166666667
04/14/2019 20:00:00,3342.25,3195.5,1862.08333333333,4825.41666666667,0,164.083333333333,1034.75,14424.0833333333
04/14/2019 21:00:00,3035.83333333333,3004.5,1770.25,4825.41666666667,0,157.5,1038.83333333333,13832.3333333333
04/14/2019 22:00:00,2558.41666666667,2618.41666666667,1765.08333333333,4824.91666666667,0,162.583333333333,1101.58333333333,13031
04/14/2019 23:00:00,2066.91666666667,2572.41666666667,1787.58333333333,4821,0,163.5,1020.08333333333,12431.5
04/15/2019 00:00:00,1753.46153846154,2550.61538461538,1411.46153846154,4821.23076923077,0,164.692307692308,910.692307692308,11612.1538461538
04/15/2019 01:00:00,1620.75,2467.83333333333,1279.66666666667,4827.5,0,165.75,911.166666666667,11272.6666666667
04/15/2019 02:00:00,1555,2427.33333333333,1254.16666666667,4827.08333333333,0,161.583333333333,993.083333333333,11218.25
04/15/2019 03:00:00,1729.83333333333,2552.66666666667,1280.16666666667,4829.41666666667,0,164.083333333333,659.416666666667,11215.5833333333
04/15/2019 04:00:00,1616.58333333333,2405.08333333333,1248,4828.58333333333,0,156.25,855.5,11110
04/15/2019 05:00:00,1860.83333333333,2439.5,1315.66666666667,4827.58333333333,0,139.75,847.416666666667,11430.75
04/15/2019 06:00:00,2320.5,2895.66666666667,1704.58333333333,4827.83333333333,0,153.666666666667,844.75,12747
04/15/2019 07:00:00,2858.41666666667,3263.91666666667,1850.75,4828.66666666667,0,149.5,878,13829.25
04/15/2019 08:00:00,3089.78571428571,3549.78571428571,1884.57142857143,4827.5,0,144.071428571429,919.642857142857,14415.3571428571
04/15/2019 09:00:00,3163.5,3424.25,1982.25,4827.83333333333,0,147.916666666667,1023.75,14569.5
04/15/2019 10:00:00,3283.91666666667,3383,2058.83333333333,4828.41666666667,0,152.833333333333,1180.58333333333,14887.5833333333
04/15/2019 11:00:00,3218.16666666667,3348.91666666667,2146.91666666667,4828.25,0,172.75,1233.25,14948.25
04/15/2019 12:00:00,3132.08333333333,3549.5,2063.5,4825.25,0.916666666666667,162.083333333333,1257.41666666667,14990.75
04/15/2019 13:00:00,3113.66666666667,3476.91666666667,2006.83333333333,4821.75,1,153.333333333333,1282.41666666667,14855.9166666667
04/15/2019 14:00:00,2864.33333333333,3779.5,1951.33333333333,4809.08333333333,1.66666666666667,164.416666666667,1392.75,14963.0833333333
04/15/2019 15:00:00,3021.16666666667,3692.25,1985.08333333333,4818,0,150,1432.08333333333,15098.5833333333
04/15/2019 16:00:00,3090.5,3564.33333333333,2001,4826.41666666667,0,151.916666666667,1430.08333333333,15064.25
04/15/2019 17:00:00,3139.91666666667,3582.41666666667,2009.66666666667,4827.5,0,156.666666666667,1496.75,15212.9166666667
04/15/2019 18:00:00,3164.28571428571,3610.71428571429,2020.85714285714,4890.28571428571,0,152,1542.57142857143,15380.7142857143
04/15/2019 19:00:00,3304.16666666667,3455.33333333333,1972.25,4899.83333333333,0,147.916666666667,1526.41666666667,15305.9166666667
04/15/2019 20:00:00,3676.08333333333,3435.83333333333,2026.25,4901.25,0,146.833333333333,1396.41666666667,15582.6666666667
04/15/2019 21:00:00,3240.16666666667,3518.66666666667,1942,4900.08333333333,0,146.25,1356,15103.1666666667
04/15/2019 22:00:00,2677.25,3565.58333333333,1870,4838,0,146.583333333333,1258.91666666667,14356.3333333333
04/15/2019 23:00:00,2180.41666666667,2973.58333333333,1767.83333333333,4825.16666666667,0,146.583333333333,1262.16666666667,13155.75
04/16/2019 00:00:00,1898.81818181818,2885.27272727273,1425.81818181818,4826.54545454545,0,145,1254.81818181818,12436.2727272727
04/16/2019 01:00:00,1655.25,3240.33333333333,1358.91666666667,4822.58333333333,0,141.083333333333,1158.91666666667,12377.0833333333
04/16/2019 02:00:00,1621.41666666667,3309.83333333333,1282.16666666667,4822,0,141.416666666667,1174,12350.8333333333
04/16/2019 03:00:00,1658.33333333333,3230.25,1281.66666666667,4822.66666666667,0,146.166666666667,1185.33333333333,12324.4166666667
04/16/2019 04:00:00,1859,3201.08333333333,1287.83333333333,4822.91666666667,0,148.416666666667,1174,12493.25
04/16/2019 05:00:00,1979.5,3106,1388.41666666667,4823.16666666667,0,144.75,1156.25,12598.0833333333
04/16/2019 06:00:00,2628.66666666667,3517.25,1712,4823.08333333333,0,145.916666666667,1088.58333333333,13915.5
04/16/2019 07:00:00,3223.16666666667,3578.08333333333,1765.16666666667,4824.5,0,151.666666666667,994.583333333333,14537.1666666667
04/16/2019 08:00:00,3361.16666666667,3717.16666666667,1908.25,4799.41666666667,0,161.916666666667,883.083333333333,14831
04/16/2019 09:00:00,3384.57142857143,3618.35714285714,1800.07142857143,4772.35714285714,0,171.785714285714,897.928571428571,14645.0714285714
04/16/2019 10:00:00,3151.64285714286,3612.21428571429,1761.57142857143,4777.21428571429,0,178.642857142857,899.5,14380.7857142857
04/16/2019 11:00:00,3033,3546,1776.08333333333,4775.91666666667,0,183,935.583333333333,14249.5833333333
