NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,maxPower,minPower,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_1,HeatRateLM_0,HeatRateLM_R2,HeatRateQM_2,HeatRateQM_1,HeatRateQM_0,HeatRateQM_R2,useQM
"Danskammer 2",23589,G,Steam Turbine,Natural Gas,41.573,-73.9646,70,25,0.733333333333333,7.33333333333333,22,44,11.4439634983408,80.9333233783349,0.829632704173638,0.188653345853281,-6.94281297228471,466.7112955283,0.83974258767541,1
"Danskammer 3",23590,G,Steam Turbine,Natural Gas,41.573,-73.9646,147,8.8,1.20833333333333,12.0833333333333,36.25,72.5,8.50667015374301,152.736870497001,0.950638917669674,0.0102566446066445,6.63700573662402,213.952299758767,0.950139351345409,1
"Danskammer 4",23591,G,Steam Turbine,Natural Gas,41.573,-73.9646,243,18.6,1.825,18.25,54.75,109.5,7.63648122238544,197.182342641958,0.97498893792232,-0.00186889811434529,8.15315724393388,171.484310320971,0.974070654662375,1
"Bowline 2",23595,G,Steam Turbine,Natural Gas,41.2044,-73.9689,593,115,4.9,49,147,294,9.99922791197259,300.811246980746,0.993940720773085,0.00436368157622599,6.96723233115964,689.561059404457,0.995985344530469,1
"Oswego 5",23606,C,Steam Turbine,Fuel Oil 6,43.46,-76.53,866,73.6,4.16666666666667,41.6666666666667,125,250,8.90237975880681,699.248892486524,0.985109881153497,0.00247914049065942,6.48035838969806,1081.02619878639,0.987313720274526,1
"Oswego 6",23613,C,Steam Turbine,Fuel Oil 6,43.46,-76.53,862,76.6,4.025,40.25,120.75,241.5,8.93024576241426,604.669598952894,0.997966435677547,0.000562881225090865,8.38129066761473,692.478030719413,0.998055585725188,1
"Port Jefferson 4",23616,K,Steam Turbine,Fuel Oil 6,40.9503,-73.0786,204,45,1.46666666666667,14.6666666666667,44,88,9.70884155187178,150.148379237222,0.991870973323609,0.00230330388376024,9.19203803336947,171.092924265399,0.991920585785499,1
"Hillburn GT",23639,G,Jet Engine,Natural Gas,41.1269,-74.1653,37,1,0.491666666666667,4.91666666666667,14.75,29.5,13.4884572026158,-6.13925967011725,0.794790087036305,0.539755168614017,-4.56022340595586,48.0378633420034,0.890501461188639,1
"Shoemaker GT",23640,G,Jet Engine,Natural Gas,41.4278,-74.4186,37,1.5,0.5,5,15,30,18.1186749485244,-89.8937836519921,0.751146064859936,0.841192510981537,-17.632988255678,172.816578688493,0.870428316635354,1
"Northport 4",23650,K,Steam Turbine,Natural Gas,40.9231,-73.3417,413,110,3.75,37.5,112.5,225,9.31589619113782,210.256743090639,0.989092376817687,0.000365772878027009,9.13155872836285,230.109096649003,0.989094455519119,1
"Athens 1",23668,F,Combined Cycle,Natural Gas,42.2728,-73.8492,390,277,3.525,35.25,105.75,211.5,6.33854650818528,153.908657704251,0.976768068947119,-0.00437717769530899,9.17132619777684,-301.24755628431,0.977215027399801,1
"Athens 2",23670,F,Combined Cycle,Natural Gas,42.2728,-73.8492,378,274,2.65833333333333,26.5833333333333,79.75,159.5,6.57502527497323,92.5248565030009,0.9705515042746,-0.00258631324290305,8.18939143301317,-158.055481386613,0.970635951754222,1
"Athens 3",23677,F,Combined Cycle,Natural Gas,42.2728,-73.8492,392,281,2.5,25,75,150,7.11849986937086,-11.9912828638511,0.970188234320941,0.000568977159614188,6.74371452424939,49.2726595909163,0.970184539394811,1
"Glenwood GT 02",23688,K,Combustion Turbine,Fuel Oil 2,40.8269,-73.6479,64,7,0.866666666666667,8.66666666666667,26,52,13.7597351506095,13.9879530436974,0.973284685924336,-0.0159788182776005,14.8037822356123,3.12713751556365,0.971631764337466,1
"Glenwood GT 03",23689,K,Combustion Turbine,Fuel Oil 2,40.8269,-73.6479,64,7.9,0.775,7.75,23.25,46.5,14.2199632703034,8.91809277649299,0.980120663633208,-0.0410631612914305,17.0706368033317,-25.9305520331281,0.980119772971108,1
"Holtsville 01",23690,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,17,1.9,0.216666666666667,2.16666666666667,6.5,13,17.1912531601646,2.31428394388541,0.993114485514331,-0.0132311860216332,17.4225513186204,1.52592550347728,0.992975001587845,1
"Holtsville 02",23691,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,17,1.8,0.216666666666667,2.16666666666667,6.5,13,17.1795742247407,2.45746666320085,0.992932313679729,-0.0124031450065506,17.3968112585435,1.71336888030136,0.992784460106173,1
"Holtsville 03",23692,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,15,1,0.208333333333333,2.08333333333333,6.25,12.5,17.1614894729338,0.72139632146764,0.998587963709112,0.0642358711029679,16.176086603916,2.99805895709931,0.998712306746746,1
"Holtsville 04",23693,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,15,1,0.208333333333333,2.08333333333333,6.25,12.5,17.1614894729338,0.72139632146764,0.998587963709112,0.0642358711029679,16.176086603916,2.99805895709931,0.998712306746746,1
