fid,NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,HubName,HubDist
63,Ravenswood ST 03,23535,J,Steam Turbine,Fuel Oil 6,40.7585,-73.9451,82,8.893968189
64,KIAC_JFK_GT1,23816,J,Combined Cycle,Natural Gas,40.6417,-73.7778,82,11.47967404
65,KIAC_JFK_GT2,23817,J,Combined Cycle,Natural Gas,40.6417,-73.7778,82,11.47967404
66,Astoria 2,24149,J,Steam Turbine,Natural Gas,40.7869,-73.9122,82,12.09467414
67,Kent,24152,J,Combustion Turbine,Natural Gas,40.7168,-73.9665,82,5.108401528
68,Pouch,24155,J,Combustion Turbine,Natural Gas,40.6188,-74.069,82,13.37991002
69,Gowanus 5,24156,J,Combustion Turbine,Natural Gas,40.663,-74,82,6.019492575
70,Gowanus 6,24157,J,Combustion Turbine,Natural Gas,40.663,-74,82,6.019492575
71,Hellgate 1,24158,J,Combustion Turbine,Natural Gas,40.7988,-73.9093,82,13.43745443
72,Hellgate 2,24159,J,Combustion Turbine,Natural Gas,40.7988,-73.9093,82,13.43745443
73,Harlem River 1,24160,J,Combustion Turbine,Natural Gas,40.7989,-73.9147,82,13.39104976
74,Harlem River 2,24161,J,Combustion Turbine,Natural Gas,40.7989,-73.9147,82,13.39104976
75,Vernon Blvd 3,24163,J,Combustion Turbine,Natural Gas,40.7539,-73.9506,82,8.461277028
76,East River 1,323558,J,Combined Cycle,Natural Gas,40.7281,-73.9742,82,6.512568981
77,East River 2,323559,J,Combined Cycle,Natural Gas,40.7281,-73.9742,82,6.512568981
78,Astoria CC 1,323568,J,Combined Cycle,Natural Gas,40.7881,-73.9056,82,12.31529436
79,Astoria CC 2,323569,J,Combined Cycle,Natural Gas,40.7881,-73.9056,82,12.31529436
80,Astoria East Energy - CC1,323581,J,Combined Cycle,Natural Gas,40.7825,-73.8964,82,11.87682707
81,Astoria Energy 2 - CC3,323677,J,Combined Cycle,Natural Gas,40.7825,-73.8964,82,11.87682707
82,Astoria Energy 2 - CC4,323678,J,Combined Cycle,Natural Gas,40.7825,-73.8964,82,11.87682707
83,Vernon Blvd 2,24162,J,Combustion Turbine,Natural Gas,40.7539,-73.9506,82,8.461277028
84,Ravenswood CC 04,23820,J,Combined Cycle,Natural Gas,40.7585,-73.9451,82,8.893968189
85,Astoria East Energy - CC2,323582,J,Combined Cycle,Natural Gas,40.7825,-73.8964,82,11.87682707
86,Astoria GT 2-1,24094,J,Jet Engine,Kerosene,40.7864,-73.9133,82,12.02713368
87,Astoria GT 2-2,24095,J,Jet Engine,Kerosene,40.7864,-73.9133,82,12.02713368
88,Astoria GT 2-3,24096,J,Jet Engine,Kerosene,40.7864,-73.9133,82,12.02713368
89,Astoria GT 2-4,24097,J,Jet Engine,Kerosene,40.7864,-73.9133,82,12.02713368
90,Astoria GT 3-1,24098,J,Jet Engine,Kerosene,40.7864,-73.9133,82,12.02713368
91,Astoria GT 3-2,24099,J,Jet Engine,Kerosene,40.7864,-73.9133,82,12.02713368
92,Astoria GT 3-3,24100,J,Jet Engine,Kerosene,40.7864,-73.9133,82,12.02713368
