NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,maxPower,minPower,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_1,HeatRateLM_0,HeatRateLM_R2,HeatRateQM_2,HeatRateQM_1,HeatRateQM_0,HeatRateQM_R2,useQM
"East Hampton GT 01",23717,K,Jet Engine,Fuel Oil 2,40.961706,-72.210277,21.3,0,0.355,3.55,10.65,21.3,13.315,0,0,0,0,0,0,0
"Freeport 1-4",1660,K,Internal Combustion,Fuel Oil 2,40.6447,-73.5683,5.1,0,0.085,0.85,2.55,5.1,10.325,0,0,0,0,0,0,0
"Freeport 2-3",1660,K,Combustion Turbine,Kerosene,40.6447,-73.5683,18.1,0,0.301666666666667,3.01666666666667,9.05,18.1,13.315,0,0,0,0,0,0,0
"General Mills Inc",23808,A,Combustion Turbine,Natural Gas,42.870968,-78.875549,3.8,0,0.0633333333333333,0.633333333333333,1.9,3.8,11.098,0,0,0,0,0,0,0
"Gowanus 1-1",24077,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 1-2",24078,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 1-3",24079,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 1-4",24080,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 1-5",24084,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 1-6",24111,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 1-7",24112,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 2-1",24114,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 2-2",24115,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 2-3",24116,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 2-4",24117,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 2-5",24118,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 2-6",24119,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 2-7",24120,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 2-8",24121,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 3-1",24122,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 3-2",24123,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 3-3",24124,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 3-4",24125,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 3-5",24126,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 3-6",24127,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 3-7",24128,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 3-8",24129,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 4-1",24130,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 4-2",24131,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 4-3",24132,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 4-4",24133,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 4-5",24134,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 4-6",24135,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Gowanus 4-8",24137,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333333333,3.33333333333333,10,20,13.315,0,0,0,0,0,0,0
"Hudson Ave 3",23810,J,Combustion Turbine,Kerosene,40.7052,-73.9807,16.3,0,0.271666666666667,2.71666666666667,8.15,16.3,13.315,0,0,0,0,0,0,0
"Hudson Ave 4",23540,J,Combustion Turbine,Kerosene,40.7052,-73.9807,16.3,0,0.271666666666667,2.71666666666667,8.15,16.3,13.315,0,0,0,0,0,0,0
"Hudson Ave 5",23657,J,Combustion Turbine,Kerosene,40.7052,-73.9807,16.3,0,0.271666666666667,2.71666666666667,8.15,16.3,13.315,0,0,0,0,0,0,0
