month,day,hour,FuelCategory,GroupCount,mean_TimeStamp,mean_GenMW
1,1,11,Nuclear,12,01/01/2019 11:27:30,5431.08333333333
1,1,11,Other Fossil Fuels,12,01/01/2019 11:27:30,3
1,1,11,Other Renewables,12,01/01/2019 11:27:30,282.916666666667
1,1,11,Wind,12,01/01/2019 11:27:30,1201.83333333333
1,1,12,Dual Fuel,12,01/01/2019 12:27:30,2247.91666666667
1,1,12,Hydro,12,01/01/2019 12:27:30,3833.75
1,1,12,Natural Gas,12,01/01/2019 12:27:30,1669.41666666667
1,1,12,Nuclear,12,01/01/2019 12:27:30,5431
1,1,12,Other Fossil Fuels,12,01/01/2019 12:27:30,0
1,1,12,Other Renewables,12,01/01/2019 12:27:30,290.5
1,1,12,Wind,12,01/01/2019 12:27:30,1184
1,1,13,Dual Fuel,12,01/01/2019 13:27:30,2329.66666666667
1,1,13,Hydro,12,01/01/2019 13:27:30,3582
1,1,13,Natural Gas,12,01/01/2019 13:27:30,1598.16666666667
1,1,13,Nuclear,12,01/01/2019 13:27:30,5429.58333333333
1,1,13,Other Fossil Fuels,12,01/01/2019 13:27:30,0.583333333333333
1,1,13,Other Renewables,12,01/01/2019 13:27:30,300.416666666667
1,1,13,Wind,12,01/01/2019 13:27:30,1044.16666666667
1,1,14,Dual Fuel,12,01/01/2019 14:27:30,2370.5
1,1,14,Hydro,12,01/01/2019 14:27:30,3502
1,1,14,Natural Gas,12,01/01/2019 14:27:30,1583.66666666667
1,1,14,Nuclear,12,01/01/2019 14:27:30,5430.16666666667
1,1,14,Other Fossil Fuels,12,01/01/2019 14:27:30,0
1,1,14,Other Renewables,12,01/01/2019 14:27:30,293.916666666667
1,1,14,Wind,12,01/01/2019 14:27:30,882.25
1,1,15,Dual Fuel,12,01/01/2019 15:27:30,2390.5
1,1,15,Hydro,12,01/01/2019 15:27:30,3780.5
1,1,15,Natural Gas,12,01/01/2019 15:27:30,1786.33333333333
1,1,15,Nuclear,12,01/01/2019 15:27:30,5431.25
1,1,15,Other Fossil Fuels,12,01/01/2019 15:27:30,0
1,1,15,Other Renewables,12,01/01/2019 15:27:30,279.666666666667
1,1,15,Wind,12,01/01/2019 15:27:30,817.333333333333
1,1,16,Dual Fuel,12,01/01/2019 16:27:30,2587.5
1,1,16,Hydro,12,01/01/2019 16:27:30,3953.5
1,1,16,Natural Gas,12,01/01/2019 16:27:30,2017
1,1,16,Nuclear,12,01/01/2019 16:27:30,5431
1,1,16,Other Fossil Fuels,12,01/01/2019 16:27:30,0
1,1,16,Other Renewables,12,01/01/2019 16:27:30,275.25
1,1,16,Wind,12,01/01/2019 16:27:30,810.833333333333
